parentType	childCount	positionLeft	positionTop	width	height	textNodeCount	avChildWidth	avChildHeight	sdChildWidth	sdChildHeight	avChildX	avChildY	sdChildX	sdChildY	subElement
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
															class
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
DIV	5	451	258	392	70	2	297.00	29.00	0.00	11.00	536.00	268.00	0.00	0.00	Y
A	3	536	268	297	40	2	297.00	18.00	0.00	0.00	536.00	268.00	0.00	0.00	Y
DIV	1	536	268	297	18	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	328	392	75	3	297.00	36.00	0.00	18.00	536.00	338.00	0.00	0.00	Y
A	3	536	338	297	54	3	297.00	18.00	0.00	0.00	536.00	338.00	0.00	0.00	Y
DIV	1	536	338	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	403	392	70	3	297.00	29.00	0.00	11.00	536.00	413.00	0.00	0.00	Y
A	3	536	413	297	40	3	297.00	18.00	0.00	0.00	536.00	413.00	0.00	0.00	Y
DIV	1	536	413	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	473	392	70	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
A	3	536	483	297	18	2	297.00	18.00	0.00	0.00	536.00	483.00	0.00	0.00	Y
DIV	1	536	483	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	543	392	70	3	297.00	29.00	0.00	11.00	536.00	553.00	0.00	0.00	Y
A	3	536	553	297	40	3	297.00	18.00	0.00	0.00	536.00	553.00	0.00	0.00	Y
DIV	1	536	553	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	5	451	613	392	70	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
A	3	536	623	297	18	2	297.00	18.00	0.00	0.00	536.00	623.00	0.00	0.00	Y
DIV	1	536	623	297	18	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	36	450	258	394	426	15	328.67	41.28	44.78	23.29	507.67	443.00	40.07	121.60	Y
